Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
1338910,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Benwood wreck dive site",25.05261,-80.3327,reported,Approximate,Floridian,32007000.0,2013,6.0,15.0,established,Depth = 20 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339470,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Benwood wreck dive site",25.05261,-80.3327,reported,Approximate,Floridian,32007000.0,2013,6.0,29.0,established,Depth = 35 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339485,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Benwood wreck dive site",25.05261,-80.3327,reported,Approximate,Floridian,32007000.0,2013,7.0,16.0,established,Depth = 40 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339458,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Benwood wreck dive site",25.05261,-80.3327,reported,Approximate,Floridian,32007000.0,2013,7.0,30.0,established,Depth = 25 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339056,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Benwood wreck dive site",25.05267,-80.33367,reported,Accurate,Floridian,32007000.0,2013,11.0,27.0,established,Depth = 35 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339335,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Duane wreck",24.98967,-80.382,reported,Approximate,Floridian,32007000.0,2013,5.0,23.0,established,Depth = 30 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339309,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Elbow reef",25.14133,-80.26288,reported,Approximate,Floridian,32007000.0,2013,10.0,6.0,established,Depth = 30 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339291,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, landing strip",24.7682,-80.73598,reported,Accurate,Floridian,32007000.0,2013,7.0,20.0,established,,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339265,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Looe Key Marine Sanctuary",24.54577,-81.40542,reported,Approximate,Floridian,32007000.0,2013,9.0,25.0,established,Depth = 19 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339279,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Looe Key reef",24.55218,-81.38364,reported,Approximate,Floridian,32007000.0,2013,8.0,1.0,established,Depth = 25 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339301,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Carysfort Reef",25.00597,-80.22217,reported,Approximate,Floridian,32007000.0,2013,10.0,18.0,established,Depth = 38 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338924,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Marathon, Sombrero Reef",24.62533,-81.11217,reported,Approximate,Floridian,32007000.0,2013,5.0,25.0,established,Depth = 10 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339501,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Marathon, Sombrero Reef",24.62533,-81.11217,reported,Approximate,Floridian,32007000.0,2013,7.0,9.0,established,Depth = 20 ft. Habitat = reef,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339472,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Molasses Reef between m9 and M24",25.00965,-80.37452,reported,Approximate,Floridian,32007000.0,2013,8.0,17.0,established,Depth = 33 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
